,Score,Group_0,Group_1,Group_2,Group_3
0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.0
3,1.5,0.0,0.010116337885685382,0.0,0.0
4,2.0,0.08944543828264759,0.09104704097116843,0.0,0.0
5,2.5,0.2683363148479428,0.19221041982802226,0.04911591355599214,0.0
6,3.0,0.6261180679785331,0.3136064744562468,0.09823182711198428,0.0
7,3.5,0.7155635062611807,0.4754678806272129,0.2455795677799607,0.0
8,4.0,1.341681574239714,0.7384926656550328,0.44204322200392926,0.0
9,4.5,1.6100178890876566,0.9914011127971674,0.6385068762278978,0.3144654088050315
10,5.0,2.23613595706619,1.294891249367729,0.9823182711198428,0.3144654088050315
11,5.5,2.5044722719141324,1.669195751138088,1.2770137524557956,0.628930817610063
12,6.0,3.2200357781753133,2.104198280222559,1.424361493123772,1.257861635220126
13,6.5,3.6672629695885512,2.5392008093070304,1.7190569744597248,1.886792452830189
14,7.0,3.9355992844364938,3.0349013657056143,2.2593320235756384,2.2012578616352205
15,7.5,4.203935599284437,3.5508345978755687,2.7504911591355596,2.515723270440252
16,8.0,5.008944543828264,4.0364188163884664,2.9960707269155207,2.8301886792452833
17,8.5,5.635062611806798,4.6130500758725335,3.4381139489194497,3.7735849056603774
18,9.0,5.813953488372093,5.149215983813858,4.027504911591355,4.40251572327044
19,9.5,6.440071556350626,5.756196256954981,4.518664047151277,5.345911949685534
20,10.0,7.155635062611807,6.39352554375316,5.1080550098231825,5.660377358490566
21,10.5,7.692307692307692,7.091552857865452,5.697445972495087,7.861635220125786
22,11.0,8.676207513416815,7.789580171977743,6.286836935166994,9.119496855345911
23,11.5,9.212880143112699,8.447142134547294,6.876227897838899,10.062893081761006
24,12.0,9.481216457960642,9.064238745574102,7.760314341846758,10.691823899371068
25,12.5,10.28622540250447,9.843196762771877,8.447937131630647,11.949685534591193
26,13.0,10.912343470483004,10.662620131512393,8.988212180746562,12.578616352201259
27,13.5,11.270125223613594,11.360647445624682,9.872298624754421,14.465408805031446
28,14.0,11.985688729874774,12.129489124936772,10.658153241650295,15.40880503144654
29,14.5,13.059033989266544,12.98937784522003,11.149312377210215,16.037735849056602
30,15.0,14.042933810375668,13.990895295902883,11.738703339882122,17.29559748427673
31,15.5,14.579606440071554,14.891249367728882,12.229862475442042,18.867924528301884
32,16.0,15.83184257602862,15.781487101669194,13.015717092337917,21.383647798742135
33,16.5,16.5474060822898,16.78300455235205,13.752455795677799,22.32704402515723
34,17.0,18.246869409660103,17.491148204350026,14.440078585461688,22.641509433962263
35,17.5,19.588550983899818,18.442083965604454,15.471512770137524,24.528301886792452
36,18.0,20.393559928443647,19.312089023773396,16.453831041257367,25.471698113207548
37,18.5,21.198568872987476,20.273141122913508,17.337917485265226,27.044025157232703
38,19.0,22.271914132379244,21.173495194739505,17.927308447937133,27.9874213836478
39,19.5,23.25581395348837,22.06373292867982,18.811394891944992,29.245283018867923
40,20.0,24.150268336314845,23.014668689934243,19.793713163064833,29.874213836477985
