,Score,Group_0,Group_1,Group_2,Group_3
0,0.0,100.0,100.0,100.0,100.0
1,0.5,100.0,100.0,100.0,100.0
2,1.0,100.0,100.0,100.0,100.0
3,1.5,100.0,100.0,100.0,100.0
4,2.0,100.0,100.0,100.0,100.0
5,2.5,100.0,100.0,100.0,100.0
6,3.0,75.0,91.66666666666666,100.0,100.0
7,3.5,100.0,100.0,100.0,100.0
8,4.0,100.0,92.3076923076923,100.0,100.0
9,4.5,66.66666666666666,96.0,100.0,100.0
10,5.0,85.71428571428571,96.66666666666667,100.0,100.0
11,5.5,100.0,97.2972972972973,83.33333333333334,100.0
12,6.0,100.0,95.34883720930233,100.0,100.0
13,6.5,80.0,90.69767441860465,100.0,100.0
14,7.0,100.0,91.83673469387756,100.0,100.0
15,7.5,100.0,98.0392156862745,90.0,100.0
16,8.0,100.0,95.83333333333334,100.0,100.0
17,8.5,100.0,94.73684210526315,77.77777777777779,100.0
18,9.0,100.0,96.22641509433963,100.0,100.0
19,9.5,85.71428571428571,88.33333333333333,90.0,100.0
20,10.0,87.5,93.65079365079364,91.66666666666666,100.0
21,10.5,100.0,94.20289855072464,100.0,100.0
22,11.0,100.0,95.65217391304348,100.0,100.0
23,11.5,100.0,90.76923076923077,100.0,100.0
24,12.0,100.0,91.80327868852459,83.33333333333334,50.0
25,12.5,100.0,92.20779220779221,92.85714285714286,75.0
26,13.0,100.0,92.5925925925926,100.0,50.0
27,13.5,100.0,89.85507246376811,100.0,100.0
28,14.0,87.5,86.8421052631579,93.75,66.66666666666666
29,14.5,91.66666666666666,87.05882352941177,100.0,100.0
30,15.0,100.0,94.94949494949495,75.0,100.0
31,15.5,83.33333333333334,80.89887640449437,90.0,80.0
32,16.0,100.0,87.5,93.75,50.0
33,16.5,100.0,86.86868686868688,93.33333333333333,100.0
34,17.0,100.0,87.14285714285714,85.71428571428571,100.0
35,17.5,86.66666666666667,88.29787234042553,76.19047619047619,83.33333333333334
36,18.0,88.88888888888889,88.37209302325581,95.0,100.0
37,18.5,100.0,88.42105263157895,88.88888888888889,100.0
38,19.0,100.0,89.8876404494382,91.66666666666666,100.0
39,19.5,100.0,84.0909090909091,94.44444444444444,100.0
40,20.0,100.0,90.42553191489363,95.0,100.0
41,20.5,100.0,81.30841121495327,100.0,100.0
42,21.0,95.23809523809523,84.6938775510204,100.0,83.33333333333334
43,21.5,66.66666666666666,79.24528301886792,94.73684210526315,100.0
44,22.0,100.0,84.46601941747572,96.0,100.0
45,22.5,100.0,86.40776699029125,85.71428571428571,100.0
46,23.0,100.0,80.0,100.0,60.0
47,23.5,88.88888888888889,86.45833333333334,100.0,100.0
48,24.0,100.0,87.77777777777777,85.0,80.0
49,24.5,90.9090909090909,76.04166666666666,100.0,75.0
50,25.0,75.0,80.61224489795919,100.0,100.0
51,25.5,87.5,76.84210526315789,86.95652173913044,100.0
52,26.0,100.0,80.73394495412845,85.71428571428571,75.0
53,26.5,88.23529411764706,84.61538461538461,94.11764705882352,100.0
54,27.0,100.0,78.21782178217822,72.72727272727273,75.0
55,27.5,100.0,77.64705882352942,96.15384615384616,33.33333333333333
56,28.0,100.0,84.21052631578947,92.3076923076923,100.0
57,28.5,100.0,74.02597402597402,69.23076923076923,100.0
58,29.0,100.0,64.28571428571429,80.76923076923077,100.0
59,29.5,100.0,75.24752475247524,90.9090909090909,100.0
60,30.0,100.0,78.57142857142857,84.61538461538461,100.0
61,30.5,100.0,80.21978021978022,88.88888888888889,100.0
62,31.0,100.0,78.08219178082192,92.3076923076923,100.0
63,31.5,90.0,83.63636363636363,76.47058823529412,0.0
64,32.0,87.5,70.0,88.23529411764706,100.0
65,32.5,91.66666666666666,82.6530612244898,94.44444444444444,100.0
66,33.0,100.0,70.49180327868852,88.0,100.0
67,33.5,77.77777777777779,78.48101265822784,93.75,100.0
68,34.0,91.66666666666666,74.74747474747475,94.73684210526315,100.0
69,34.5,100.0,68.53932584269663,92.85714285714286,100.0
70,35.0,100.0,78.65168539325843,85.71428571428571,100.0
71,35.5,82.35294117647058,76.05633802816901,88.23529411764706,75.0
72,36.0,83.33333333333334,58.730158730158735,60.0,100.0
73,36.5,85.71428571428571,79.45205479452055,85.71428571428571,100.0
74,37.0,90.9090909090909,72.05882352941177,90.9090909090909,100.0
75,37.5,100.0,66.10169491525424,95.23809523809523,75.0
76,38.0,100.0,72.58064516129032,68.18181818181817,100.0
77,38.5,100.0,84.90566037735849,95.0,50.0
78,39.0,90.9090909090909,73.77049180327869,100.0,66.66666666666666
79,39.5,88.88888888888889,58.46153846153847,85.71428571428571,100.0
80,40.0,100.0,69.86301369863014,83.33333333333334,100.0
81,40.5,92.85714285714286,66.15384615384615,85.71428571428571,100.0
82,41.0,90.0,75.64102564102564,92.85714285714286,100.0
83,41.5,100.0,67.12328767123287,81.25,100.0
84,42.0,100.0,65.07936507936508,94.44444444444444,66.66666666666666
85,42.5,85.71428571428571,59.67741935483871,85.0,100.0
86,43.0,100.0,74.19354838709677,71.42857142857143,100.0
87,43.5,91.66666666666666,65.38461538461539,57.14285714285714,100.0
88,44.0,100.0,67.3469387755102,81.25,50.0
89,44.5,100.0,72.41379310344827,84.21052631578947,100.0
90,45.0,100.0,60.9375,94.11764705882352,100.0
91,45.5,87.5,69.64285714285714,72.72727272727273,50.0
92,46.0,91.66666666666666,61.702127659574465,92.85714285714286,0.0
93,46.5,90.9090909090909,58.620689655172406,81.25,100.0
94,47.0,80.0,75.86206896551724,50.0,66.66666666666666
95,47.5,100.0,64.70588235294117,86.36363636363636,100.0
96,48.0,83.33333333333334,56.896551724137936,80.0,100.0
97,48.5,50.0,71.42857142857143,78.57142857142857,100.0
98,49.0,80.0,56.451612903225815,90.0,100.0
99,49.5,87.5,58.06451612903226,70.0,100.0
100,50.0,75.0,55.319148936170215,81.81818181818183,100.0
101,50.5,90.0,53.333333333333336,90.0,100.0
102,51.0,100.0,51.66666666666667,71.42857142857143,0.0
103,51.5,100.0,62.22222222222222,77.77777777777779,66.66666666666666
104,52.0,85.71428571428571,50.0,60.0,0.0
105,52.5,100.0,58.333333333333336,75.0,33.33333333333333
106,53.0,100.0,61.702127659574465,81.81818181818183,100.0
107,53.5,85.71428571428571,60.416666666666664,68.75,25.0
108,54.0,60.0,48.78048780487805,85.71428571428571,100.0
109,54.5,50.0,64.44444444444444,66.66666666666666,0.0
110,55.0,100.0,60.416666666666664,58.82352941176471,100.0
111,55.5,87.5,53.57142857142857,64.70588235294117,100.0
112,56.0,25.0,60.416666666666664,50.0,50.0
113,56.5,100.0,45.65217391304348,54.54545454545454,0.0
114,57.0,100.0,45.09803921568628,40.0,100.0
115,57.5,100.0,52.083333333333336,75.0,0.0
116,58.0,100.0,42.857142857142854,87.5,100.0
117,58.5,66.66666666666666,54.54545454545454,52.94117647058824,0.0
118,59.0,87.5,51.78571428571429,44.44444444444444,100.0
119,59.5,83.33333333333334,50.74626865671642,72.72727272727273,100.0
120,60.0,100.0,44.73684210526316,56.25,0.0
121,60.5,100.0,56.86274509803921,77.77777777777779,100.0
122,61.0,0.0,48.529411764705884,10.0,100.0
123,61.5,85.71428571428571,58.97435897435898,70.58823529411765,100.0
124,62.0,88.88888888888889,37.5,64.28571428571429,0.0
125,62.5,100.0,48.38709677419355,60.0,50.0
126,63.0,93.33333333333333,41.86046511627907,54.54545454545454,0.0
127,63.5,100.0,50.0,81.81818181818183,100.0
128,64.0,50.0,31.25,71.42857142857143,0.0
129,64.5,100.0,29.411764705882355,42.857142857142854,0.0
130,65.0,100.0,44.827586206896555,90.9090909090909,100.0
131,65.5,33.33333333333333,42.10526315789473,33.33333333333333,0.0
132,66.0,83.33333333333334,39.39393939393939,66.66666666666666,25.0
133,66.5,100.0,25.0,80.0,0.0
134,67.0,0.0,30.555555555555557,66.66666666666666,0.0
135,67.5,100.0,33.33333333333333,76.92307692307693,100.0
136,68.0,75.0,48.888888888888886,66.66666666666666,0.0
137,68.5,75.0,43.24324324324324,66.66666666666666,0.0
138,69.0,50.0,38.63636363636363,42.857142857142854,0.0
139,69.5,80.0,35.294117647058826,71.42857142857143,100.0
140,70.0,33.33333333333333,22.58064516129032,58.333333333333336,0.0
141,70.5,0.0,48.64864864864865,62.5,0.0
142,71.0,0.0,33.33333333333333,27.27272727272727,0.0
143,71.5,50.0,34.285714285714285,66.66666666666666,0.0
144,72.0,33.33333333333333,27.586206896551722,50.0,0.0
145,72.5,50.0,20.0,83.33333333333334,0.0
146,73.0,75.0,35.714285714285715,44.44444444444444,50.0
147,73.5,100.0,42.857142857142854,37.5,0.0
148,74.0,80.0,36.95652173913043,33.33333333333333,0.0
149,74.5,100.0,35.483870967741936,42.857142857142854,0.0
150,75.0,75.0,24.489795918367346,25.0,0.0
151,75.5,100.0,34.61538461538461,55.55555555555556,100.0
152,76.0,100.0,34.21052631578947,0.0,0.0
153,76.5,50.0,22.857142857142858,33.33333333333333,0.0
154,77.0,66.66666666666666,28.888888888888886,100.0,0.0
155,77.5,100.0,24.137931034482758,16.666666666666664,0.0
156,78.0,100.0,40.625,37.5,100.0
157,78.5,0.0,29.411764705882355,66.66666666666666,0.0
158,79.0,0.0,34.78260869565217,33.33333333333333,0.0
159,79.5,33.33333333333333,26.666666666666668,66.66666666666666,0.0
160,80.0,0.0,16.216216216216218,57.14285714285714,0.0
161,80.5,100.0,14.583333333333334,100.0,0.0
162,81.0,100.0,30.76923076923077,60.0,50.0
163,81.5,0.0,21.21212121212121,33.33333333333333,100.0
164,82.0,0.0,16.666666666666664,0.0,50.0
165,82.5,50.0,38.70967741935484,25.0,0.0
166,83.0,50.0,4.3478260869565215,50.0,0.0
167,83.5,100.0,24.137931034482758,50.0,0.0
168,84.0,0.0,8.333333333333332,16.666666666666664,0.0
169,84.5,0.0,21.21212121212121,0.0,0.0
170,85.0,0.0,17.647058823529413,0.0,0.0
171,85.5,0.0,22.727272727272727,20.0,0.0
172,86.0,100.0,7.142857142857142,20.0,0.0
173,86.5,33.33333333333333,9.523809523809524,0.0,0.0
174,87.0,0.0,7.6923076923076925,0.0,0.0
175,87.5,0.0,0.0,25.0,0.0
176,88.0,0.0,0.0,0.0,0.0
177,88.5,100.0,25.0,0.0,0.0
178,89.0,0.0,0.0,50.0,0.0
179,89.5,0.0,0.0,0.0,0.0
180,90.0,0.0,20.0,0.0,0.0
181,90.5,0.0,33.33333333333333,33.33333333333333,0.0
182,91.0,0.0,0.0,0.0,0.0
183,91.5,0.0,0.0,0.0,0.0
184,92.0,0.0,0.0,0.0,0.0
185,92.5,0.0,0.0,0.0,0.0
186,93.0,0.0,0.0,0.0,0.0
187,93.5,0.0,0.0,0.0,0.0
188,94.0,0.0,0.0,0.0,0.0
189,94.5,0.0,0.0,0.0,0.0
190,95.0,0.0,0.0,0.0,0.0
191,95.5,0.0,0.0,0.0,0.0
192,96.0,0.0,0.0,0.0,0.0
193,96.5,0.0,0.0,0.0,0.0
194,97.0,0.0,0.0,0.0,0.0
195,97.5,0.0,0.0,0.0,0.0
196,98.0,0.0,0.0,0.0,0.0
197,98.5,0.0,0.0,0.0,0.0
198,99.0,0.0,0.0,0.0,0.0
199,99.5,0.0,0.0,0.0,0.0
200,100.0,0.0,0.0,0.0,0.0
