,Score,Group_0,Group_1,Group_2,Group_3
0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.0,0.02209334438000552,0.0,0.0
2,1.0,0.0,0.04234557672834392,0.07847533632286995,0.0
3,1.5,0.0,0.10494338580502624,0.11210762331838565,0.0
4,2.0,0.04084967320261438,0.20988677161005248,0.1681614349775785,0.0
5,2.5,0.20424836601307192,0.31114793335174445,0.3475336322869955,1.0752688172043012
6,3.0,0.44934640522875813,0.47868912823345305,0.7511210762331839,1.0752688172043012
7,3.5,0.8169934640522875,0.7290803645401822,1.0762331838565022,1.0752688172043012
8,4.0,1.2663398692810457,0.9757893767835772,1.390134529147982,1.0752688172043012
9,4.5,1.633986928104575,1.3145539906103285,1.7937219730941707,1.0752688172043012
10,5.0,2.287581699346405,1.5833563472337289,2.275784753363229,1.0752688172043012
11,5.5,2.6552287581699345,1.946055417472153,2.769058295964126,1.0752688172043012
12,6.0,2.9820261437908493,2.341894504280585,3.4529147982062782,1.0752688172043012
13,6.5,3.880718954248366,2.81321918438737,3.867713004484305,3.225806451612903
14,7.0,4.370915032679738,3.3011138727791587,4.6524663677130045,3.225806451612903
15,7.5,5.106209150326797,3.882905274785971,5.07847533632287,3.225806451612903
16,8.0,5.923202614379084,4.4168277639694375,5.739910313901345,3.225806451612903
17,8.5,7.148692810457516,5.096198103654607,6.356502242152466,4.301075268817205
18,9.0,7.802287581699346,5.707447298168093,6.894618834080718,4.301075268817205
19,9.5,8.741830065359476,6.379453189726594,7.399103139013453,5.376344086021506
20,10.0,9.681372549019606,7.093804658013439,8.172645739910314,7.526881720430109
21,10.5,10.702614379084967,7.728988308938598,8.91255605381166,8.60215053763441
22,11.0,11.601307189542483,8.478320905827118,9.652466367713005,9.677419354838712
23,11.5,12.377450980392156,9.096934548467273,10.358744394618835,9.677419354838712
24,12.0,13.316993464052288,9.88677161005247,10.986547085201796,10.752688172043014
25,12.5,13.929738562091504,10.683973119764335,11.872197309417041,10.752688172043014
26,13.0,15.155228758169937,11.501426861824541,12.769058295964127,10.752688172043014
27,13.5,16.013071895424837,12.29678725950474,13.508968609865473,11.827956989247316
28,14.0,17.116013071895424,13.138175457976617,14.349775784753366,11.827956989247316
29,14.5,18.137254901960784,13.904078063150141,15.134529147982065,11.827956989247316
30,15.0,19.281045751633986,14.684709564577004,16.34529147982063,11.827956989247316
31,15.5,20.1797385620915,15.487434410383871,17.286995515695068,11.827956989247316
32,16.0,21.20098039215686,16.222038111019053,18.21748878923767,13.978494623655918
33,16.5,22.38562091503268,16.98057626806591,19.439461883408075,15.053763440860218
34,17.0,23.16176470588235,17.915861180152813,20.381165919282513,18.27956989247312
35,17.5,24.183006535947708,18.753567154561352,21.401345291479824,19.35483870967742
36,18.0,25.408496732026144,19.57470312068489,22.544843049327355,20.43010752688172
37,18.5,26.51143790849673,20.495259136518452,23.565022421524667,22.580645161290324
38,19.0,27.736928104575163,21.49866519377704,24.47309417040359,22.580645161290324
39,19.5,28.676470588235297,22.391604529135595,25.470852017937222,22.580645161290324
40,20.0,29.49346405228759,23.238516063702473,26.513452914798208,24.731182795698928
41,20.5,30.392156862745107,24.17011875172604,27.443946188340806,26.88172043010753
42,21.0,31.53594771241831,25.086992543496272,28.35201793721973,29.03225806451613
43,21.5,32.3529411764706,26.033324127773177,29.383408071748878,31.182795698924732
44,22.0,33.45588235294119,26.95388014360674,30.280269058295968,31.182795698924732
45,22.5,34.3137254901961,27.83761391880696,31.03139013452915,32.25806451612903
46,23.0,35.29411764705884,28.8097210715272,31.838565022421527,32.25806451612903
47,23.5,36.56045751633989,29.757893767835768,32.75784753363229,32.25806451612903
48,24.0,37.94934640522878,30.71711313633434,33.60986547085202,32.25806451612903
49,24.5,38.92973856209153,31.714995857497925,34.383408071748875,33.33333333333333
50,25.0,40.19607843137257,32.738654147104846,35.20179372197309,33.33333333333333
51,25.5,41.1356209150327,33.675780171223415,36.0762331838565,33.33333333333333
52,26.0,42.19771241830068,34.62579397956365,37.0067264573991,33.33333333333333
